제목,글,그림,출판사,정가,판매가,URL,책소개
말썽꾸러기 호랑이,보리기획,노정덕,보리,"4,500원 ","4,050",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=300618,말썽꾸러기 호랑이
,,,,,,,
호랑이가 깨지 않게 조용조용!,브리타 테큰트럽,정나래,사파리,"11,000원 ","9,900",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=103083286,똑똑 모두누리 그림책 시리즈. 동물 친구들에게 갑작스레 닥친 문제를 독자들이 같이 풀어내는 재미있는 상호 소통의 그림책이다. 이 책은 동물 친구들이 호랑이를 깨우지 않고 무사히 지나갈 수 있도록 독자들에게 ...
호랑이 형님,우현옥,이미리,박철화,"7,600원 ","6,840",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=20270061,춤추는 꼬리연 옛이야기 시리즈. 우리 옛이야기뿐 아니라 그림형제와 페로의 옛이야기 중에서 아이들이 가장 재미있고 즐겁게 볼 수 있는 이야기를 선별하여 구성한 시리즈. 사람을 감동시킨 호랑이의 지극한 효심을...
,,,,,,,
호랑이를 탄 엄마,서선연,오승민,느림보,"12,000원 ","10,800",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=52641572,"일하는 엄마의 퇴근길을 보여줌으로써 워킹맘에게는 응원과 격려를, 엄마를 기다리는 아이에게는 이해와 공감의 메시지를 전하는 그림책이다. 일러스트레이터 오승민은 퇴근조차 마음대로 하기 힘든 워킹맘의 상황을..."
호랑이는 내가 맛있대요!,김성범,김세진,상상의힘,"12,000원 ","10,800",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=193876532,"김성범의 동시에 그림책 작가 김세진이 특유의 굵은 선, 명료한 캐릭터, 활기찬 붓질을 통해 시를 그림책으로 재탄생시켰다. 더욱이 시는 그림책으로 변신하면서 시가 갖지 못한 세부를 한층 더 자세하게 드러냄으로..."
호랑이와 약지,정하섭,이준선,키큰도토리(어진교육),"12,000원 ","10,800",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=103338371,이야기 속담 그림책 시리즈 3권. 이야기를 통해 속담을 배울 수 있는 그림책이다. 속담의 속뜻이 무엇일지 상상할 수 있는 이야기를 통해 자연스레 속담을 익힐 수가 있다. 전래 동화와 같은 이야기는 속담 속 인물...
악기가 된 호랑이,이윤희,송수정,파랑새,"12,000원 ","10,800",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=62673332,"파랑새 그림책 시리즈 155권. 아름다운 소리를 낼 수 있게 해 준다는 말에 몸을 비비 꼬며, 세상에서 가장  환한 미소를 짓는 호랑이의 모습을 보며 아이들은 꿈이라는 것이 얼마나 소중한 것인지, 또 얼마나 큰 기..."
호랑이가 깨지 않게 조용조용!,브리타 테큰트럽,정나래,사파리,"12,000원 ","10,800",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=266119384,동물 친구들과 함께 독자가 문제를 해결하는 재치 넘치고 유쾌한 그림책. 호랑이가 길을 떡하니 막은 채 잠들었잖아! 호랑이를 깨우지 않고 어떻게 지나갈 수 있을까? 동물 친구들에게 갑작스레 닥친 문제를 독자들...
,,,,,,,
호랑이 줄무늬 왜 있을까?,박주연,윤서희,모의원,"12,000원 ","10,800",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=6156645,다양한 보호색 방식을 총망라하는 동물 생태 그림책.  자칫 판에 박히고 무미건조할 수 있는 동물의 보호색에 관한 이야기를 박주연 작가 특유의 어투로 친근하고 톡톡 튀게 들려준다. 또한 윤서희 화가는 동물의 생...
호랑이 처녀의 사랑,강숙인,김종민,사계절,"12,500원 ","11,250",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=2748751,「삼국유사」에 실린 「김현감호설화」를 그림책으로 만들었다. 감성적인 문장과 우아한 그림으로 호랑이 처녀와 사람 남자의 이루어질 수 없는 사랑 이야기를 아름답게 표현한 작품이다. 점점 밝아지고 커져가는 달...
여우 시집가고 호랑이 장가가고,유다정,유승하,책읽는곰,"11,000원 ","9,900",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=23063011,우리문화그림책 온고지신 시리즈 14권. ‘호가호위(狐假虎威)’라는 고사성어와 ‘여우비’에 얽힌 속설을 재치 있게 버무려 전통 혼례의 이모저모를 알려주는 책이다. 지식이나 정보에 앞서 재미있는 이야기와 매력...
이야기보따리를 훔친 호랑이,김하루,김옥재,우리아이들(북뱅크),"13,000원 ","11,700",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=93176581,우리아이들 우리 얼 그림책 2권. 이야기 속에 또 하나의 이야기를 끼워 넣은 액자형 그림책 『이야기보따리를 훔친 호랑이』는 ‘둘이 듣다가 하나 죽어도 모르는 이야기’ 덕분에 행복한 ‘이야기꾼’으로 거듭난 ...
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
호랑이 씨 숲으로 가다,피터 브라운,서애경,사계절,"12,000원 ","10,800",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=42020956,"초등학생이 보는 그림책 시리즈 31권. 2014 보스턴글로브 혼 북 수상작으로, 삶의 방식에 관한 이야기이자, 존재의 자유로움을 찾아가는 과정을 그린 작품이다. 작가 피터 브라운은 인간이 아닌 동물을 주인공으로 ..."
호랑이와 효자,김장성,백성민,이야기꽃,"12,000원 ","10,800",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=62275828,"서울과 고양 사이 북한산 자락에 전해 오는 효자 박태성과 산군 호랑이의 애틋한 이야기. ‘효자리의 박 효자 전설’(「고양군지」, 1987)과 조선 영조 때 살았던 실제 인물 박태성의 이야기를 바탕으로 쓰였다."
호랑이가 산다,레네 아스크,마리 칸스타 욘센,손화수,"13,000원 ","11,700",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=276860455,"노르웨이 올해의 가장 아름다운 그림책 은상 수상작. 소녀는 식탁에 앉아 알파벳 공부를 시작한다. 하지만 비슷비슷하게 생긴 글자는 헷갈리고, 점점 어려워진다. 소녀는 친구라고 믿었던 글자들이 자신을 따돌리고 ..."
,,,,,,,
,,,,,,,
팥죽 호랑이와 일곱 녀석,최은옥,이준선,국민서관,"12,000원 ","10,800",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=62511414,"우리 그림책 시리즈 18권. 그동안 많은 사랑을 받아 온 전래동화 &lt;팥죽 할머니와 호랑이&gt; 이야기를 토대로 뒷이야기를 풀어낸 그림책이다. 푸른 문학상, 비룡소 문학상을 연달아 수상한 최은옥 작가의 첫 번째..."
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
호랑이 형님,우현옥,이미리,봄볕,"8,800원 ","7,920",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=116353173,춤추는 꼬리연 옛이야기 시리즈. 우리 옛이야기뿐 아니라 그림형제와 페로의 옛이야기 중에서 아이들이 가장 재미있고 즐겁게 볼 수 있는 이야기를 선별하여 구성한 시리즈. 사람을 감동시킨 호랑이의 지극한 효심을...
저승사자에게 잡혀간 호랑이,김미혜,최미란,사계절,"14,000원 ","12,600",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=1963153,재미있는 옛 이야기 속 호랑이와 함께 떠나는 저승 여행 이야기. 해와 달이 된 오누이 이야기에서 오누이를 잡아먹으려다 수수밭에 떨어진 호랑이의 뒷 이야기이다. 저승으로 간 호랑이는 그 뒤 어떻게 되었을까.
,,,,,,,
,,,,,,,
간식을 먹으러 온 호랑이,주디스 커,최정선,보림,"11,000원 ","9,900",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=230199,"소피라는 아이가 엄마랑 간식을 먹고 있는데, 딩동 초인종 소리가 울린다. 문을 열어보니까 거기에는 털이 북실북실한 커다란 호랑이가 있는게 아닌가. 상냥한 소피 엄마가 빵을 권하자 배가 고팠던 호랑이는 접시째..."
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
호랑이 잡은 피리,강무홍,김달성,보림,"12,000원 ","10,800",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=172083,"갈색과 연두의 적절한 배합을 통해 가을의 분위기를 잘 드러냈고, 보라색을 이용해 밤의 분위기를 표현한 것이 특징이다. 세 형제가 어려운 세상살이를 지혜롭게 헤쳐나가는 과정이 재미있게 그려졌다. --어린이도서..."
팥죽 할머니와 호랑이,조대인,최숙희,보림,"12,000원 ","10,800",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=152875,"알밤, 개똥, 송곳, 절구 등이 할머니를 도와 호랑이를 물리치는 이야기이다. 익살스럽고 해학적인 분위기이며 그림의 스타일도 현대적이다. 글과 그림이 다같이 뛰어나 이야기가 명쾌하다. 힘없는 약자들이 힘을 모..."
,,,,,,,
